Lookup,Scalebook.y,Scale#,Fish#,Hatchery,Number,FishLookup,Sex,Origin,Region,FL(mm),CirculiFW,CirculiTotal,FWG1a,FWG1t,FWG2a,FWG2t,MG1a,MG1t,MG2a,MG2t,MGAvg,TotalScaleLen
878796,87879,26,6,Big Qualicum,6,Big Qualicum6,M,Clip,SoG,700,26,63,22.803,456.06,26.62222222,159.7333333,45.62766667,456.2766667,44.06047619,308.4233333,44.98235294,1380.493333
878782,87878,12,2,Big Qualicum,15,Big Qualicum15,M,Wild,SoG,620,23,56,26.782,401.73,30.44,243.52,43.9075,439.075,42.203,422.03,43.05525,1506.355
878763,87876,3,3,Big Qualicum,86,Big Qualicum86,F,Clip,SoG,650,27,64,24.27606061,267.0366667,22.71333333,363.4133333,43.92733333,439.2733333,44.02555556,264.1533333,43.96416667,1333.876667
878765,87876,35,5,Big Qualicum,88,Big Qualicum88,F,Clip,SoG,685,32,57,22.27076923,579.04,28.4,170.4,37.636,376.36,33.23666667,33.23666667,37.23606061,1159.036667
878767,87876,17,7,Big Qualicum,90,Big Qualicum90,F,Wild,SoG,630,16,53,34.036,340.36,29.98333333,179.9,44.218,442.18,38.06294118,647.07,40.34259259,1609.51
878769,87876,19,9,Big Qualicum,92,Big Qualicum92,F,Wild,SoG,560,18,50,33.72272727,370.95,37.97642857,265.835,47.4985,474.985,39.27566667,589.135,42.5648,1700.905
366951,36695,31,1,Chilliwack,1,Chilliwack1,F,Clip,SoG,620,28,59,24.85285714,521.91,23.10714286,161.75,41.015,410.15,44.216,221.08,42.082,1314.89
366953,36695,3,3,Chilliwack,4,Chilliwack4,F,Clip,SoG,580,27,61,26.78137255,455.2833333,30.46722222,182.8033333,42.983,429.83,44.65633333,446.5633333,43.81966667,1514.48
366954,36695,14,4,Chilliwack,5,Chilliwack5,F,Clip,WCVI,571,27,54,27.25766667,408.865,34.22166667,410.66,45.9775,459.775,37.44416667,224.665,42.7775,1503.965
366955,36695,35,5,Chilliwack,6,Chilliwack6,F,Wild,SoG,618,31,63,24.11384615,626.96,27.984,139.92,43.131,431.31,38.61,77.22,42.3775,1275.41
366959,36695,29,9,Chilliwack,12,Chilliwack12,F,Wild,SoG,541,27,63,22.98264706,390.705,27.0285,270.285,41.3955,413.955,38.88583333,233.315,40.454375,1308.26
3669510,36695,10,10,Chilliwack,15,Chilliwack15,M,Clip,SoG,656,32,65,24.5875,590.1,32.045,256.36,42.25,422.5,,,,
859433,85943,23,3,Chilliwack,20,Chilliwack20,F,Clip,SoG,572,27,64,20.68972222,372.415,21.33166667,191.985,42.8755,428.755,40.39416667,242.365,41.945,1235.52
859434,85943,24,4,Chilliwack,22,Chilliwack22,F,Clip,SoG,567,29,59,21.9584058,505.0433333,25.72055556,154.3233333,39.92966667,399.2966667,40.16416667,160.6566667,39.99666667,1219.32
859439,85943,39,9,Chilliwack,33,Chilliwack33,M,Clip,SoG,673,27,58,21.731,434.62,27.2952381,191.0666667,43.95566667,439.5566667,50.88777778,305.3266667,46.55520834,1370.57
M99995,M9999,5,5,Chilliwack,41,Chilliwack41,M,Wild,SoG,506,24,62,32.09769231,417.27,27.39909091,301.39,33.031,330.31,38.42222222,345.8,35.58473684,1394.77
M99996,M9999,26,6,Chilliwack,43,Chilliwack43,M,Wild,WCVI,610,23,54,27.53764706,468.14,26.83,160.98,34.086,340.86,42.569,425.69,38.3275,1395.67
315853,31585,3,3,Chilliwack,52,Chilliwack52,F,Clip,SoG,620,27,66,24.05452381,505.145,30.89208333,185.3525,39.5125,395.125,36.17666667,217.06,38.2615625,1302.6825
315855,31585,5,5,Chilliwack,54,Chilliwack54,F,Wild,WCVI,610,26,49,29.07966667,436.195,34.72818182,382.01,34.7915,347.915,31.165,218.155,33.29823529,1384.275
315856,31585,16,6,Chilliwack,55,Chilliwack55,F,Clip,SoG,584,24,59,24.74294118,420.63,22.12809524,154.8966667,39.06366667,390.6366667,42.21444444,379.93,40.55614035,1346.093333
315859,31585,29,9,Chilliwack,58,Chilliwack58,F,Wild,SoG,592,28,55,25.28683333,505.7366667,31.31125,250.49,46.678,466.78,39.58,197.9,44.312,1420.906667
315862,31586,12,2,Chilliwack,64,Chilliwack64,F,Clip,SoG,570,26,53,24.75392157,420.8166667,33.26777778,299.41,43.39033333,433.9033333,38.79142857,271.54,41.49666666,1425.67
463547,46354,17,7,Chilliwack,85,Chilliwack85,M,Wild,SoG,692,27,58,25.80259259,464.4466667,32.84666667,295.62,40.71,407.1,43.65555556,261.9333333,41.81458333,1429.1
463549,46354,39,9,Chilliwack,88,Chilliwack88,M,Clip,WCVI,536,30,59,25.785,489.915,30.46,335.06,42.128,421.28,35.97166667,107.915,40.70730769,1354.17
463682,46368,2,2,Chilliwack,91,Chilliwack91,M,Clip,SoG,656,23,67,27.44203704,493.9566667,28.49666667,142.4833333,38.53866667,385.3866667,43.628,436.28,41.08333334,1458.106667
463685,46368,15,5,Chilliwack,97,Chilliwack97,M,Clip,SoG,600,30,69,26.41989583,634.0775,33.43875,200.6325,46.02325,460.2325,45.69166667,137.075,45.94673077,1432.0175
463687,46368,27,7,Chilliwack,99,Chilliwack99,M,Clip,SoG,528,29,59,25.14425,502.885,26.01888889,234.17,45.1465,451.465,46.27625,185.105,45.46928571,1373.625
463689,46368,19,9,Chilliwack,101,Chilliwack101,M,Clip,SoG,586,30,59,22.40925,448.185,27.3525,273.525,41.158,411.58,45.24166667,135.725,42.10038462,1269.015
463782,46378,2,2,Chilliwack,104,Chilliwack104,M,Clip,WCVI,592,30,58,25.25047619,530.26,27.21666667,244.95,32.669,326.69,40.525,121.575,34.48192308,1223.475
463786,46378,16,6,Chilliwack,108,Chilliwack108,M,Clip,SoG,562,25,54,25.80111111,464.42,24.41285714,170.89,39.5385,395.385,46.62125,372.97,42.68638889,1403.665
463787,46378,47,7,Chilliwack,109,Chilliwack109,M,Clip,SoG,590,25,62,20.09722222,361.75,23.42,163.94,35.877,358.77,43.655,349.24,39.33388889,1233.7
463788,46378,18,8,Chilliwack,110,Chilliwack110,M,Clip,WCVI,596,26,56,22.63277778,407.39,25.5525,204.42,35.3025,353.025,40.61642857,284.315,37.49058823,1249.15
878571,87857,41,1,Chilliwack,114,Chilliwack114,M,Clip,SoG,528,20,58,27.03051282,351.3966667,24.59380952,172.1566667,33.70033333,337.0033333,37.25820513,484.3566667,35.71130435,1344.913333
878575,87857,35,5,Chilliwack,118,Chilliwack118,M,Clip,SoG,514,29,66,20.47405797,470.9033333,23.75277778,142.5166667,40.15866667,401.5866667,40.37083333,161.4833333,40.21928572,1176.49
516536,51653,46,6,Chilliwack,207,Chilliwack207,F,Clip,SoG,650,33,63,26.81538462,697.2,33.30857143,233.16,40.515,405.15,,,,
516537,51653,17,7,Chilliwack,208,Chilliwack208,M,Clip,SoG,670,26,52,26.9,484.2,31.185,249.48,50.321,503.21,43.79714286,306.58,47.63470588,1543.47
516538,51653,48,8,Chilliwack,209,Chilliwack209,M,Clip,SoG,650,29,66,23.28086957,535.46,21.31,127.86,35.028,350.28,41.51,166.04,36.88,1179.64
516539,51653,9,9,Chilliwack,210,Chilliwack210,F,Clip,SoG,595,24,56,26.24611111,472.43,22.58166667,135.49,44.605,446.05,48.74444444,438.7,46.56578947,1492.67
517004,51700,4,4,Chilliwack,216,Chilliwack216,M,Clip,SoG,630,24,61,21.95368421,417.12,29.59,147.95,42.7025,427.025,44.17111111,397.54,43.39815789,1389.635
517006,51700,16,6,Chilliwack,218,Chilliwack218,F,Clip,WCVI,630,27,62,23.90027778,430.205,28.99777778,260.98,37.2185,372.185,34.8575,209.145,36.333125,1272.515
517007,51700,17,7,Chilliwack,219,Chilliwack219,F,Clip,WCVI,600,29,61,22.08045455,485.77,23.09928571,161.695,33.84,338.4,39.0775,156.31,35.33642857,1142.175
517008,51700,28,8,Chilliwack,220,Chilliwack220,M,Clip,WCVI,660,23,64,24.31642857,340.43,19.51111111,175.6,37.293,372.93,41.98666667,419.8666667,39.63983334,1308.826667
878812,87881,32,2,Chilliwack,225,Chilliwack225,M,Clip,SoG,650,26,62,21.19944444,381.59,21.385625,171.085,34.365,343.65,38.38214286,268.675,36.01911765,1165
878814,87881,44,4,Chilliwack,228,Chilliwack228,M,Clip,SoG,525,23,56,28.8475,461.56,22.25714286,155.8,41.246,412.46,37.985,379.85,39.6155,1409.67
878816,87881,26,6,Chilliwack,230,Chilliwack230,M,Wild,SoG,570,30,65,25.2505,505.01,19.6945,196.945,42.94,429.4,45.05,135.15,43.42692308,1266.505
878817,87881,47,7,Chilliwack,231,Chilliwack231,M,Wild,WCVI,675,24,59,22.5925,361.48,25.23125,201.85,37.823,378.23,40.85111111,367.66,39.25736842,1309.22
878564,87856,24,4,Chilliwack,240,Chilliwack240,F,Wild,SoG,555,30,65,20.7515,415.03,25.121,251.21,37.615,376.15,35.36666667,106.1,37.09615385,1148.49
878565,87856,35,5,Chilliwack,241,Chilliwack241,F,Wild,SoG,570,27,62,23.45578947,445.66,28.38875,227.11,39.558,395.58,38.12166667,228.73,39.019375,1297.08
878566,87856,26,6,Chilliwack,242,Chilliwack242,F,Clip,SoG,605,24,56,23.22315789,441.24,24.596,122.98,35.753,357.53,40.19333333,361.74,37.85631579,1283.49
463532,46353,22,2,Quinsam,2,Quinsam2,M,Wild,SoG,660,30,59,21.53435897,279.9466667,33.03411765,561.58,46.91833333,469.1833333,41.05111111,123.1533333,45.56435897,1433.863333
463536,46353,46,6,Quinsam,6,Quinsam6,M,Wild,SoG,570,25,61,19.93611111,358.85,24.26928571,169.885,37.8815,378.815,40.469375,323.755,39.03166667,1231.305
859401,85940,1,1,Quinsam,34,Quinsam34,F,Clip,WCVI,630,34,58,23.92232143,669.825,34.34,206.04,42.24722222,380.225,,,,
